정산일자,총 매출금액,총 주문건수,파일명
23-01-01,1300700,48,[2023-01] 월간 정산.xlsx
23-01-02,0,0,[2023-01] 월간 정산.xlsx
23-01-03,865000,29,[2023-01] 월간 정산.xlsx
23-01-04,892600,34,[2023-01] 월간 정산.xlsx
23-01-05,975400,35,[2023-01] 월간 정산.xlsx
23-01-06,1149200,40,[2023-01] 월간 정산.xlsx
23-01-07,1017400,33,[2023-01] 월간 정산.xlsx
23-01-08,1545200,56,[2023-01] 월간 정산.xlsx
23-01-09,0,0,[2023-01] 월간 정산.xlsx
23-01-10,1036700,39,[2023-01] 월간 정산.xlsx
23-01-11,953600,34,[2023-01] 월간 정산.xlsx
23-01-12,865600,34,[2023-01] 월간 정산.xlsx
23-01-13,1171500,45,[2023-01] 월간 정산.xlsx
23-01-14,1080700,42,[2023-01] 월간 정산.xlsx
23-01-15,1419900,41,[2023-01] 월간 정산.xlsx
23-01-16,0,0,[2023-01] 월간 정산.xlsx
23-01-17,936300,34,[2023-01] 월간 정산.xlsx
23-01-18,974700,30,[2023-01] 월간 정산.xlsx
23-01-19,636300,21,[2023-01] 월간 정산.xlsx
23-01-20,944200,35,[2023-01] 월간 정산.xlsx
23-01-21,952800,33,[2023-01] 월간 정산.xlsx
23-01-22,1687700,54,[2023-01] 월간 정산.xlsx
23-01-23,372300,2,[2023-01] 월간 정산.xlsx
23-01-24,1596700,53,[2023-01] 월간 정산.xlsx
23-01-25,937000,36,[2023-01] 월간 정산.xlsx
23-01-26,867300,34,[2023-01] 월간 정산.xlsx
23-01-27,1313100,47,[2023-01] 월간 정산.xlsx
23-01-28,1506100,57,[2023-01] 월간 정산.xlsx
23-01-29,1335900,49,[2023-01] 월간 정산.xlsx
23-01-30,0,0,[2023-01] 월간 정산.xlsx
23-01-31,1077900,40,[2023-01] 월간 정산.xlsx
합계,29411800,1035,[2023-01] 월간 정산.xlsx
23-02-01,1059500,39,[2023-02] 월간 정산.xlsx
23-02-02,937000,30,[2023-02] 월간 정산.xlsx
23-02-03,970600,30,[2023-02] 월간 정산.xlsx
23-02-04,1369200,47,[2023-02] 월간 정산.xlsx
23-02-05,1467200,35,[2023-02] 월간 정산.xlsx
23-02-06,0,0,[2023-02] 월간 정산.xlsx
23-02-07,1123300,33,[2023-02] 월간 정산.xlsx
23-02-08,799700,29,[2023-02] 월간 정산.xlsx
