,일시,총 매출금액,총 주문건수,년,월,일,년월,평균기온(℃),평균풍속(m/s),강수량(mm),holiday
0,2023-01-01,1300700,48,2023,1,1,2023-01,1.1,2.9,0.0,1.0
1,2023-01-03,865000,29,2023,1,3,2023-01,-0.8,4.4,0.0,0.0
2,2023-01-04,892600,34,2023,1,4,2023-01,-0.4,2.4,0.0,0.0
3,2023-01-05,975400,35,2023,1,5,2023-01,0.2,0.9,0.0,0.0
4,2023-01-06,1149200,40,2023,1,6,2023-01,1.8,1.1,1.7,0.0
5,2023-01-07,1017400,33,2023,1,7,2023-01,3.6,4.2,0.3,0.0
6,2023-01-08,1545200,56,2023,1,8,2023-01,1.2,1.0,0.0,0.0
7,2023-01-10,1036700,39,2023,1,10,2023-01,1.9,1.1,0.0,0.0
8,2023-01-11,953600,34,2023,1,11,2023-01,2.6,1.5,0.0,0.0
9,2023-01-12,865600,34,2023,1,12,2023-01,6.7,0.9,4.8,0.0
10,2023-01-13,1171500,45,2023,1,13,2023-01,14.6,1.9,51.9,0.0
11,2023-01-14,1080700,42,2023,1,14,2023-01,10.0,3.1,0.0,0.0
12,2023-01-15,1419900,41,2023,1,15,2023-01,1.4,4.7,0.4,0.0
13,2023-01-17,936300,34,2023,1,17,2023-01,-1.5,3.6,0.0,0.0
14,2023-01-18,974700,30,2023,1,18,2023-01,-0.9,1.9,0.0,0.0
15,2023-01-19,636300,21,2023,1,19,2023-01,-1.3,1.2,0.0,0.0
16,2023-01-20,944200,35,2023,1,20,2023-01,-0.6,3.4,0.0,0.0
17,2023-01-21,952800,33,2023,1,21,2023-01,-2.5,2.6,0.0,0.0
18,2023-01-22,1687700,54,2023,1,22,2023-01,-0.5,0.2,0.0,0.0
19,2023-01-23,372300,2,2023,1,23,2023-01,1.8,2.9,0.0,0.0
20,2023-01-24,1596700,53,2023,1,24,2023-01,-8.6,6.1,0.2,0.0
21,2023-01-25,937000,36,2023,1,25,2023-01,-9.2,3.3,0.1,0.0
22,2023-01-26,867300,34,2023,1,26,2023-01,-1.9,1.2,0.0,0.0
23,2023-01-27,1313100,47,2023,1,27,2023-01,-3.5,4.5,0.0,0.0
24,2023-01-28,1506100,57,2023,1,28,2023-01,-3.5,3.4,0.0,0.0
25,2023-01-29,1335900,49,2023,1,29,2023-01,1.1,2.7,0.0,0.0
26,2023-01-31,1077900,40,2023,1,31,2023-01,0.3,1.1,0.0,0.0
27,2023-02-01,1059500,39,2023,2,1,2023-02,2.9,2.9,0.0,0.0
28,2023-02-02,937000,30,2023,2,2,2023-02,0.9,3.4,0.0,0.0
