일시,강수량(mm)
2023-01-01,
2023-01-02,
2023-01-03,
2023-01-04,
2023-01-05,
2023-01-06,1.7
2023-01-07,0.3
2023-01-08,
2023-01-09,
2023-01-10,
2023-01-11,
2023-01-12,4.8
2023-01-13,51.9
2023-01-14,
2023-01-15,0.4
2023-01-16,
2023-01-17,
2023-01-18,
2023-01-19,
2023-01-20,
2023-01-21,
2023-01-22,
2023-01-23,
2023-01-24,0.2
2023-01-25,0.1
2023-01-26,
2023-01-27,
2023-01-28,
2023-01-29,
2023-01-30,
2023-01-31,
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-04,
2023-02-05,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,7.4
2023-02-10,17
2023-02-11,
2023-02-12,0.4
2023-02-13,
2023-02-14,
2023-02-15,
2023-02-16,
2023-02-17,0.1
2023-02-18,1.5
2023-02-19,1.6
2023-02-20,
2023-02-21,
2023-02-22,1
2023-02-23,1.4
2023-02-24,
2023-02-25,
2023-02-26,
2023-02-27,
2023-02-28,
2023-03-01,0.1
2023-03-02,
2023-03-03,
2023-03-04,
2023-03-05,
2023-03-06,
2023-03-07,
2023-03-08,
2023-03-09,0.1
2023-03-10,
2023-03-11,
2023-03-12,4.5
2023-03-13,
2023-03-14,
2023-03-15,
2023-03-16,
2023-03-17,
2023-03-18,
2023-03-19,
2023-03-20,
2023-03-21,
2023-03-22,1.4
2023-03-23,30.4
2023-03-24,15.5
2023-03-25,0.2
2023-03-26,1.8
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-01,
2023-04-02,
2023-04-03,
2023-04-04,13.4
2023-04-05,58.8
2023-04-06,4.9
2023-04-07,1
2023-04-08,
2023-04-09,
2023-04-10,
2023-04-11,0.2
2023-04-12,
2023-04-13,
2023-04-14,9
2023-04-15,0.4
2023-04-16,0.8
2023-04-17,
2023-04-18,0.8
2023-04-19,
2023-04-20,
2023-04-21,
2023-04-22,
2023-04-23,
2023-04-24,0
2023-04-25,4.7
2023-04-26,
2023-04-27,
2023-04-28,
2023-04-29,7.7
2023-04-30,
2023-05-01,
2023-05-02,
2023-05-03,
2023-05-04,26.7
2023-05-05,166.5
2023-05-06,7.1
2023-05-07,2.7
2023-05-08,
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,
2023-05-13,
2023-05-14,
2023-05-15,
2023-05-16,
2023-05-17,
2023-05-18,25.5
2023-05-19,
2023-05-20,
2023-05-21,
2023-05-22,0.8
2023-05-23,0
2023-05-24,
2023-05-25,
2023-05-26,0
2023-05-27,0.4
2023-05-28,6.9
2023-05-29,18.6
2023-05-30,10.4
2023-05-31,5.7
2023-06-01,7.4
2023-06-02,2.5
2023-06-03,
2023-06-04,
2023-06-05,
2023-06-06,
2023-06-07,
2023-06-08,
2023-06-09,
2023-06-10,
2023-06-11,
2023-06-12,0
2023-06-13,
2023-06-14,4.7
2023-06-15,
2023-06-16,
2023-06-17,
2023-06-18,
2023-06-19,
2023-06-20,10
2023-06-21,6.5
2023-06-22,
2023-06-23,
2023-06-24,
2023-06-25,17.1
2023-06-26,38.3
2023-06-27,75.9
2023-06-28,106.2
2023-06-29,11.5
2023-06-30,22.1
2023-07-01,0.8
2023-07-02,
2023-07-03,0
2023-07-04,34.5
2023-07-05,34.3
2023-07-06,
2023-07-07,57.9
2023-07-08,1
2023-07-09,0.1
2023-07-10,3.7
2023-07-11,27.1
2023-07-12,34
2023-07-13,2
2023-07-14,35.8
2023-07-15,30.9
2023-07-16,57.4
2023-07-17,88.8
2023-07-18,93.1
2023-07-19,2
2023-07-20,
2023-07-21,
2023-07-22,3.5
2023-07-23,15.8
2023-07-24,69.7
2023-07-25,0
2023-07-26,6.3
2023-07-27,0
2023-07-28,
2023-07-29,0
2023-07-30,
2023-07-31,0
2023-08-01,
2023-08-02,
2023-08-03,
2023-08-04,
2023-08-05,
2023-08-06,
2023-08-07,13.2
2023-08-08,
2023-08-09,23.9
2023-08-10,75.2
2023-08-11,
2023-08-12,0
2023-08-13,
2023-08-14,
2023-08-15,0
2023-08-16,
2023-08-17,
2023-08-18,0
2023-08-19,
2023-08-20,
2023-08-21,
2023-08-22,15.9
2023-08-23,32.2
2023-08-24,48.8
2023-08-25,
2023-08-26,
2023-08-27,0
2023-08-28,15.7
2023-08-29,37.8
2023-08-30,63.1
2023-08-31,0
2023-09-01,
2023-09-02,5.1
2023-09-03,17.9
2023-09-04,4.5
2023-09-05,
2023-09-06,0
2023-09-07,
2023-09-08,
2023-09-09,
2023-09-10,
2023-09-11,
2023-09-12,
2023-09-13,16.5
2023-09-14,16.6
2023-09-15,24.1
2023-09-16,60.6
2023-09-17,6.8
2023-09-18,
2023-09-19,
2023-09-20,61.6
2023-09-21,1.5
2023-09-22,
2023-09-23,
2023-09-24,
2023-09-25,
2023-09-26,0.2
2023-09-27,0
2023-09-28,
2023-09-29,
2023-09-30,2.1
2023-10-01,
2023-10-02,
2023-10-03,0.7
2023-10-04,0.2
2023-10-05,
2023-10-06,
2023-10-07,2
2023-10-08,1.6
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-14,
2023-10-15,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,4
2023-10-20,0.1
2023-10-21,0
2023-10-22,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-28,
2023-10-29,
2023-10-30,
2023-10-31,
2023-11-01,
2023-11-02,
2023-11-03,
2023-11-04,0.7
2023-11-05,47.5
2023-11-06,26.2
2023-11-07,
2023-11-08,
2023-11-09,5.7
2023-11-10,6.1
2023-11-11,
2023-11-12,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,11.5
2023-11-17,5.2
2023-11-18,1.7
2023-11-19,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,0
2023-11-24,0
2023-11-25,
2023-11-26,
2023-11-27,0.2
2023-11-28,0
2023-11-29,0
2023-11-30,
2023-12-01,
2023-12-02,
2023-12-03,0
2023-12-04,
2023-12-05,
2023-12-06,0.6
2023-12-07,
2023-12-08,
2023-12-09,
2023-12-10,0.3
2023-12-11,17.9
2023-12-12,2.4
2023-12-13,
2023-12-14,32.3
2023-12-15,5.9
2023-12-16,2.6
2023-12-17,0.4
2023-12-18,0.2
2023-12-19,
2023-12-20,0.2
2023-12-21,0.4
2023-12-22,
2023-12-23,
2023-12-24,0.2
2023-12-25,0
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,
2023-12-30,0.6
2023-12-31,1.1
2024-01-01,
2024-01-02,0
2024-01-03,1
2024-01-04,
2024-01-05,
2024-01-06,
2024-01-07,0.1
2024-01-08,
2024-01-09,3.4
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-13,
2024-01-14,1
2024-01-15,
2024-01-16,
2024-01-17,0.6
2024-01-18,2.9
2024-01-19,0.6
2024-01-20,15.2
2024-01-21,0.4
2024-01-22,0.2
2024-01-23,0.3
2024-01-24,0.1
2024-01-25,
2024-01-26,
2024-01-27,
2024-01-28,
2024-01-29,
2024-01-30,0.3
2024-01-31,2.9
2024-02-01,2.1
2024-02-02,0.1
2024-02-03,5.4
2024-02-04,3.6
2024-02-05,15.4
2024-02-06,0.7
2024-02-07,
2024-02-08,
2024-02-09,
2024-02-10,
2024-02-11,
2024-02-12,
2024-02-13,
2024-02-14,7.5
2024-02-15,0
2024-02-16,
2024-02-17,
2024-02-18,62.6
2024-02-19,20.3
2024-02-20,8.7
2024-02-21,15.3
2024-02-22,6.3
2024-02-23,0.9
2024-02-24,5.9
2024-02-25,1.8
2024-02-26,
2024-02-27,
2024-02-28,
2024-02-29,4.2
2024-03-01,
