일시,배달의민족,요기요,전화,기타,배민1,쿠팡이츠,년월
2023-01-01,770,150.0,95,20,,,2023-01
2023-02-01,643,114.0,86,17,,,2023-02
2023-03-01,808,124.0,113,11,,,2023-03
2023-04-01,748,142.0,112,15,38.0,,2023-04
2023-05-01,694,138.0,119,15,45.0,,2023-05
2023-06-01,689,102.0,115,16,19.0,,2023-06
2023-07-01,476,55.0,72,11,20.0,,2023-07
2023-08-01,663,,146,31,,,2023-08
2023-09-01,877,131.0,123,36,14.0,12.0,2023-09
2023-10-01,935,198.0,135,75,94.0,12.0,2023-10
2023-11-01,816,203.0,114,48,126.0,17.0,2023-11
2023-12-01,877,290.0,145,45,124.0,23.0,2023-12
2024-01-01,791,243.0,157,44,121.0,22.0,2024-01
2024-02-01,603,197.0,171,32,96.0,26.0,2024-02
2024-03-01,618,203.0,175,38,233.0,29.0,2024-03
2024-04-01,561,169.0,148,37,178.0,51.0,2024-04
2024-05-01,557,158.0,184,45,187.0,132.0,2024-05
2024-06-01,534,153.0,137,53,162.0,272.0,2024-06
2024-07-01,551,140.0,130,66,160.0,259.0,2024-07
2024-08-01,530,151.0,193,88,157.0,312.0,2024-08
2024-09-01,475,148.0,140,72,148.0,320.0,2024-09
2024-10-01,451,158.0,125,134,158.0,357.0,2024-10
2024-11-01,486,146.0,163,119,146.0,396.0,2024-11
2024-12-01,467,65.0,189,162,65.0,437.0,2024-12
2025-01-01,441,179.0,136,51,235.0,480.0,2025-01
2025-02-01,367,50.0,279,90,140.0,314.0,2025-02
2025-03-01,477,126.0,318,85,151.0,374.0,2025-03
2025-04-01,281,66.0,203,43,95.0,213.0,2025-04
