일시,총 매출금액,총 주문건수,년,월,일,평균기온(℃),평균풍속(m/s),강수량(mm),holiday,배달의민족,요기요,전화,기타,배민1,쿠팡이츠,년월
2023-01-01,1300700,48,2023,1,1,1.1,2.9,0.0,1.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-03,865000,29,2023,1,3,-0.8,4.4,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-04,892600,34,2023,1,4,-0.4,2.4,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-05,975400,35,2023,1,5,0.2,0.9,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-06,1149200,40,2023,1,6,1.8,1.1,1.7,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-07,1017400,33,2023,1,7,3.6,4.2,0.3,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-08,1545200,56,2023,1,8,1.2,1.0,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-10,1036700,39,2023,1,10,1.9,1.1,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-11,953600,34,2023,1,11,2.6,1.5,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-12,865600,34,2023,1,12,6.7,0.9,4.8,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-13,1171500,45,2023,1,13,14.6,1.9,51.9,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-14,1080700,42,2023,1,14,10.0,3.1,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-15,1419900,41,2023,1,15,1.4,4.7,0.4,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-17,936300,34,2023,1,17,-1.5,3.6,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-18,974700,30,2023,1,18,-0.9,1.9,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-19,636300,21,2023,1,19,-1.3,1.2,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-20,944200,35,2023,1,20,-0.6,3.4,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-21,952800,33,2023,1,21,-2.5,2.6,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-22,1687700,54,2023,1,22,-0.5,0.2,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-23,372300,2,2023,1,23,1.8,2.9,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-24,1596700,53,2023,1,24,-8.6,6.1,0.2,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-25,937000,36,2023,1,25,-9.2,3.3,0.1,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-26,867300,34,2023,1,26,-1.9,1.2,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-27,1313100,47,2023,1,27,-3.5,4.5,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-28,1506100,57,2023,1,28,-3.5,3.4,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-29,1335900,49,2023,1,29,1.1,2.7,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-01-31,1077900,40,2023,1,31,0.3,1.1,0.0,0.0,770,150.0,95,20,0.0,0.0,2023-01
2023-02-01,1059500,39,2023,2,1,2.9,2.9,0.0,0.0,643,114.0,86,17,0.0,0.0,2023-02
